iter	RMSE
0	38.95494028
1	35.95677968
2	32.95153909
3	30.27734506
4	27.74127062
5	25.46683636
6	23.30976204
7	21.36321587
8	19.72591978
9	18.16618212
10	16.73256587
11	15.34448161
12	14.17955096
13	13.10152929
14	12.07123864
15	11.1287806
16	10.31214499
17	9.608322442
18	8.900716102
19	8.323791866
20	7.747357702
21	7.203036799
22	6.731286347
23	6.247442931
24	5.872923256
25	5.510807812
26	5.184988372
27	4.870209152
28	4.588838383
29	4.319679825
30	4.082213958
31	3.871775643
32	3.676437738
33	3.504937208
34	3.33882127
35	3.206958399
36	3.088923445
37	2.973504299
38	2.864278315
39	2.770053288
40	2.689016399
41	2.613731162
42	2.554449862
43	2.48966275
44	2.42902288
45	2.380203188
46	2.326061284
47	2.28452794
48	2.2540566
49	2.216380716
50	2.178726703
51	2.147454239
52	2.122296053
53	2.101135599
54	2.080617797
55	2.058762012
56	2.039241506
57	2.027751267
58	2.001636992
59	1.985516164
60	1.968879044
61	1.954244858
62	1.935355063
63	1.929778896
64	1.910425817
65	1.895920811
66	1.889273059
67	1.880486062
68	1.87332378
69	1.865035857
70	1.841746198
71	1.837170921
72	1.833231568
73	1.830253583
74	1.810092989
75	1.807156507
76	1.778969507
77	1.776833397
78	1.753585746
79	1.750681199
80	1.730702607
81	1.728168816
82	1.723461123
83	1.721058307
84	1.719110882
85	1.705435862
86	1.70337621
87	1.701598144
88	1.698312015
89	1.696478891
90	1.688434365
91	1.687043029
92	1.678716584
93	1.653462347
94	1.650140809
95	1.648177882
96	1.646889748
97	1.628189052
98	1.627005698
99	1.625673727
