iter	Passed	Remaining
0	0	26
1	0	26
2	0	25
3	1	25
4	1	27
5	1	27
6	2	26
7	2	25
8	2	25
9	2	24
10	2	23
11	3	22
12	3	22
13	3	22
14	3	21
15	4	21
16	4	20
17	4	20
18	4	20
19	4	19
20	5	19
21	5	19
22	5	18
23	5	18
24	6	18
25	6	18
26	6	18
27	7	18
28	7	17
29	7	17
30	7	17
31	8	17
32	8	16
33	8	16
34	8	16
35	8	15
36	9	15
37	9	15
38	9	15
39	9	14
40	10	14
41	10	14
42	10	14
43	10	13
44	11	13
45	11	13
46	11	13
47	11	12
48	11	12
49	12	12
50	12	11
51	12	11
52	12	11
53	13	11
54	13	10
55	13	10
56	13	10
57	14	10
58	14	9
59	14	9
60	14	9
61	15	9
62	15	8
63	15	8
64	15	8
65	15	8
66	16	7
67	16	7
68	16	7
69	16	7
70	17	6
71	17	6
72	17	6
73	17	6
74	17	5
75	17	5
76	18	5
77	18	5
78	18	4
79	18	4
80	18	4
81	18	4
82	19	3
83	19	3
84	19	3
85	19	3
86	19	2
87	19	2
88	19	2
89	19	2
90	20	2
91	20	1
92	20	1
93	20	1
94	21	1
95	21	0
96	21	0
97	21	0
98	21	0
99	21	0
